"","frequency","nperiods","seasonal_period","trend","spike","linearity","curvature","e_acf1","e_acf10","seasonal_strength","peak","trough","entropy","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","seas_acf1","length","user_time","system_time","elapsed_time","user_time.1","system_time.1","elapsed_time.1"
"1",12,1,12,0.947266106409675,1.91203716911656e-08,0.872828994134333,10.9548534799672,0.187582240148386,0.121424623215842,0.840493245114668,7,4,0.570134722719809,0.883521276511913,4.51666329286164,0.0684253022219144,0.429832695453076,-0.396282365578252,0.460473067457062,0.829357717024272,469,0.0567452907562256,0.0567452907562256,0.0567452907562256,0,0,0
"2",12,1,12,0.808563175628186,2.20338194799156e-07,0.943754973321969,4.73598916627241,0.0983067678867169,0.140595693610813,0.418088810724915,6,8,0.728420362728632,0.742296772341789,3.83774152680902,-0.328455992580946,0.181274588296739,-0.56688025906287,0.357696924191097,0.586023790006243,469,0.0538313388824463,0.0538313388824463,0.0538313388824463,0,0,0
"3",12,1,12,0.999220044610611,8.44623592092988e-12,21.1726888790671,4.01983029744663,0.362794689357459,0.42043646903821,0.510412309913111,1,7,0.140086314912725,0.992430167394247,9.22071282363793,-0.099445397820825,0.103513930893902,-0.49131364920878,0.335322080506082,0.915486120451885,469,0.0698285102844238,0.0698285102844238,0.0698285102844238,0,0,0
"4",12,1,12,0.86878829947861,3.83381881473085e-06,-7.29527004985912,0.373958118132425,0.508005140900023,0.593581732360825,0.235737439986753,10,5,0.574867323092533,0.869929275883851,3.5150173738108,-0.0320009676377075,0.119796411635288,-0.514900058596777,0.361133574434818,0.311041971930355,82,0.0620248317718506,0.0620248317718506,0.0620248317718506,0,0,0
"5",12,1,12,0.7457337777245,1.00662554877053e-05,4.86953071019231,0.562116046482366,0.191777986770381,0.258148065410317,0.320755909202461,8,2,0.712688623764958,0.743657083701038,2.0007610017708,-0.392255027500929,0.274889907842874,-0.651684098272906,0.592565915218,0.119956780485597,112,0.0469827651977539,0.0469827651977539,0.0469827651977539,0,0,0
"6",12,1,12,0.997657561319799,3.10064599538951e-10,13.9853350484284,-12.7683661347255,0.50582153100459,0.294760324433121,0.439016347748297,8,4,0.266407415902769,0.9959502837626,9.48660586369408,0.0840408700171307,0.0268750066065076,-0.447351421188629,0.233817892053761,0.936746498709846,666,0.0725748538970947,0.0725748538970947,0.0725748538970947,0,0,0
"7",12,1,12,0.971913311813325,1.45637085282794e-07,8.49994178238604,1.54868592131756,0.634572414597241,0.993840923074955,0.561393283376195,8,2,0.427137315145692,0.966722217554104,6.18159950817519,0.146201848639279,0.278020857967861,-0.568194867976774,0.430108957473877,0.534137997858801,112,0,0,0,0.0357596874237061,0.0357596874237061,0.0357596874237061
"8",12,1,12,0.985929930758431,3.76031337606015e-08,9.75044923995488,0.990510247338396,0.514109662117629,0.754994607018831,0.331426100679248,8,2,0.300030926889016,0.970546090093419,7.00457267864348,-0.110592985955029,0.22689873694784,-0.600762992898507,0.616393874148674,0.608818607789369,112,0.0426914691925049,0.0426914691925049,0.0426914691925049,0,0,0
"9",12,1,12,0.96782827055431,1.64032634237787e-08,-19.3925024040694,-7.08384684518001,0.490265398653913,0.472982911302503,0.869842083316379,8,1,0.473752674764974,0.950678714720491,5.3808134751504,0.39492196592774,0.746003755026244,-0.22705753707108,0.128893210376299,0.864256800610974,822,0.079784631729126,0.079784631729126,0.079784631729126,0,0,0
"10",12,1,12,0.995729713498454,3.3049803355744e-09,-15.8374216610283,9.79763222999523,0.541245860664292,0.487739242913323,0.147271246784883,12,7,0.0823123711288091,0.987702956757256,8.61384741870994,-0.00669781239929708,0.0278700314692448,-0.455874882904888,0.266991076262801,0.841620710131676,366,0.0441329479217529,0.0441329479217529,0.0441329479217529,0,0,0
"11",12,1,12,0.999808189501065,7.53537247611652e-13,24.2401697451314,-3.40338062604037,0.528170991240147,0.428617949831526,0.98983468502867,11,7,0.105251157530421,0.988670897260062,9.10471951361196,0.313158125339738,0.822743665496303,0.00645844653728385,0.667729830155535,0.946879385388144,618,0.0404143333435059,0.0404143333435059,0.0404143333435059,0,0,0
"12",12,1,12,0.993651309031334,1.32191682477883e-09,17.9947888758266,-13.4971744982784,0.576549295368471,0.475261961917824,0.663877155563936,12,11,0.473242683817017,0.975488669669054,8.20379533186288,-0.311106678799046,0.110576737499588,-0.619674850035167,0.430323200786699,0.796733212625468,918,0,0,0,0.0627400875091553,0.0627400875091553,0.0627400875091553
"13",12,1,12,0.990668755841184,3.19603164261836e-09,12.6954709309611,-10.3421422112111,0.616998507332039,0.543178127763617,0.385545136790586,5,11,0.504535543306574,0.98461065222674,8.01814930120985,0.221682540996161,0.105428769001146,-0.453918712362072,0.213980467702235,0.742467627591255,918,0.0653650760650635,0.0653650760650635,0.0653650760650635,0,0,0
"14",12,1,12,0.999944901965307,1.89517003705494e-14,26.2176697042108,-5.26233429204652,0.498281817135799,0.351747982473255,0.993398133918021,11,7,0.0990740104423844,0.993616386118215,9.4222617242354,0.290932761208063,1.39075782367489,-0.166160489072275,1.04664965855859,0.956545852624451,726,0.0552260875701904,0.0552260875701904,0.0552260875701904,0,0,0
